FECHA,OPCION_1,OPCION_2,POSTRE
2026-03-30,OMELLETTE JAMON Y QUESO / COLITA DE CUADRIL AL HORNO / SALSA CRIOLLA / PAPAS Y CALABAZAS ASADAS,"CHAW FAN / (Arroz salteado con zanahoria, verdeo, huevo, y soja)",VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-03-31,"VITEL TONNE / SORRENTINOS, FUSSILES, SPAGHETTIS / SALSAS TUSO, PARISIEN, ROSA",BROCHETTE DE CERDO / TORTILLA DE VERDURAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-01,CANASTITAS COOK´S / MILANESA DE POLLO / CON ARROZ PRIMAVERA,"VARIEDAD DE TARTAS / JAMON Y QUESO,ZAPALLITOS",VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-02,JUEVES SANTO,,
2026-04-03,VIERNES SANTO,,
2026-04-06,"CARNE A LA TARTARA / ÑOQUIS, FUCCILES, SPAGUETTI / TUCO, PARISIEN, BECHAMEL",MILANESA DE SOJA / TORTILLA DE VERDURAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-07,BUÑUELITOS DE ACELGA / BIFECITOS A LA CRIOLLA / CON PAPAS AL NATURAL,"VARIEDAD DE TARTAS / CAPRESSE, JAMON Y QUESO",VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-08,ARROLLADO PRIMAVERA / POLLO AL HORNO / SALSA DE VERDEO / ARROZ A LA MANTECA,BROCHETTE DE CARNE / REVUELTO DE ZAPALLITOS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-09,"BRUSCHETTAS / TACOS MEXICANOS / (dados de carne, de pollo, juliana de verduras) / PAPAS BASTÓN",CARRÉ DE CERDO AL HORNO / CON BATATAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-10,HUEVOS RELLENOS / MILANESA DE TERNERA / PURÉ MIXTO,MIL HOJAS / DE PESCADO,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-13,OMELLETE CAPRESE / POLLO AL HORNO / ARROZ AL OLEO,MILANESA DE BERENJENA A LA SUIZA / ACELGA A LA CREMA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-14,VITEL TONE / FILET DE PESCADO A LA MILANESA Y MEDALLON DE PESCADO / PURE MIXTO,LASAGÑA DE RICOTTA Y VERDURA / SALSA ROSA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-15,BASTONCITOS DE MOZZARELLA / CARNE CON SALSA DEMIGLACE / PAPAS ESPAÑOLAS,"VARIEDAD DE TARTAS / CAPRESSE, ZAPALLITOS",VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-16,"ROLLITO DE JAMON Y QUESO / RAVIOLES,MOSTACHOLES ,SPAGUETIS / SALSA ESTOFADO,BLANCA,PARISIENE",MATAMBRITO A LA PIZZA / BROCOLIY COLIFLOR AL GRATEN,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-17,BUÑUELITO DE ACELGA / MILANESA DE TERNERA / PURÉ DE PAPAS,LENTEJAS / A LA ESPAÑOLA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-20,"BRUSQUETAS CAPRESE / CARNE AL HORNO TIERNIZADA, SALSA DEMIGLACE / SALSA DEMIGLACE / PAPAS, CEBOLLAS Y MORRONES ASADOS",MILANESA DE BERENJENAS A LA NAPOLITANA / BRÓCOLI Y COLIFLOR GRATINADOS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-21,"HUEVOS RELLENOS / SORRENTINOS, FUSSILES, MOSTACHOLES / SALSAS DE TOMATE, BECHAMEL Y ROSA",BONDIOLA DE CERDO AL HORNO / CON BOÑATO Y BATATAS,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-22,CANASTITAS DE CHOCLO / MILANESA DE TERNERA / PURÉ PAPAS Y PURÉ DE CALABAZA,LASAGNA DE JAMÓN Y QUESO / CON SALSA ROSA,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-23,OMELETTE DE CEBOLLA Y QUESO / POLLO AL HORNO / CON ARROZ,ROLLITOS DE PESCADO / RUEDAS DE CALABAZA AL OLEO,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-24,"BUÑUELITOS DE VERDURA / VARIEDAD DE PIZZAS / MOZZARELLA, NAPOLITANA, FUGAZZETTA, MARGARITA",BROCHETTE DE CARNE / REVUELTO GRAMAJO,VARIEDAD DE POSTRES / FRUTAS FRESCAS ENTERAS Y EN GAJITOS
2026-04-27,SEMANA DE RECESO,,
2026-04-28,SEMANA DE RECESO,,
2026-04-29,SEMANA DE RECESO,,
2026-04-30,SEMANA DE RECESO,,
2026-05-01,SEMANA DE RECESO,,
