FECHA,OPCION_1,OPCION_2,POSTRE
2026-07-01,OMELLETTE DE QUESO / POLLO AL HORNO / PURE MIXTO,RAGOUT DE CERDO,ENSALADA DE FRUTAS
2026-07-02,"SOPA CREMA DE ZAPALLO / RAVIOLES, TIRABUZONES, TALLARINES / SALSAS TUCO, PARISIEN Y ROSA",BONDIOLA DE CERDO MECHADA / CON BOÑATOS Y ZANAHORIAS,CARROT CAKE
2026-07-03,HUEVOS RELENOS / MILANESAS DE CARNE / PAPAS BASTON,ROLLS DE PESCADO / CON ACELGA A LA CREMA,ALFAJORCITOS DE MAICENA
2026-07-06,SOPA CREMA DE CALABAZA / POLLO AL HORNO / AL VERDEO / CON PURÉ MIXTO,MILANESA DE BERENJENAS A LA NAPOLITANA / TORTILLA DE VERDURA,ENSALADA DE FRUTAS
2026-07-07,"OMELLETTE DE CEBOLLA Y QUESO / SORRENTINOS, FUSSILES, FIDEOS / SALSAS POMODORO, 4 QUESOS, ROSA",BONDIOLA DE CERDO BRASEADA / PURÉ DE BATATAS Y ZANAHORIAS GLACEADAS,DURAZNOS EN ALMIBAR
2026-07-08,BRUSCHETTAS CAPRESSE / MILANESAS DE CARNE YNAPOLITANAS / CON ARROZ GRANEADO,ROLLS DE PESCDO / RUEDAS DE CALABAZA,GELATINA
2026-07-09,FERIADO,,
2026-07-10,FERIADO,,
2026-07-13,"OMELETTE DE JAMÓN Y QUESO / ÑOQUIS,TIRABUZON,SPAGUETIS / SALSA ESTOFADO,PARISIEN,BLANCA",MILANESA DE SOJA NAPOLITANA / JULIANA DE VERDURAS,QUESO Y DULCE
2026-07-14,"SOPA CREMA DE ZAPALLO / CARNE AL HORNO, SALSA PORTUGUESA / CON CALABAZAS Y BATATAS ASADAS Y PAPAS",MIL HOJAS DE / PESCADO,ENSALADA DE FRUTAS
2026-07-15,BUÑUELITOS DE VERDURA / POLLO AL HORNO CON SALSA AL AJILLO / ARROZ BLANCO Y AMARILLO,RAGOUT DE / CERDO,CRUMBLE DE MANZANA
2026-07-16,"SOPA CREMA DE ZAPALLO / VARIEDAD DE PIZZAS / MOZZARELLA, CON TOMATE, CON HUEVO, CON VERDURAS",BROCHETTE DE TERNERA / TORTILLA DE PAPAS,GELATINA BICOLOR
2026-07-17,HUEVOS RELLENOS / MILANESA DE POLLO / PURÉ DE CALABAZA Y DE PAPA,GUISO DE LENTEJAS A LA ESPAÑOLA,BUDIN CASERO DE BANANA
2026-07-20,Vacaciones de invierno,LUNES 27,
2026-07-21,Vacaciones de invierno,MARTES 29,
2026-07-22,Vacaciones de invierno,MIERCOLES 30,
2026-07-23,Vacaciones de invierno,JUEVES 31,
2026-07-24,Vacaciones de invierno,VIERNES 1º DE AGOSTO,
