FECHA,OPCION_1,OPCION_2,POSTRE
2026-09-01,"BUÑUELOS DE ACELGA / RAVIOLES,TIRABUZON,SPAGUETIS / SALSAS TUCO, PARISIEN, ROSA",BONDIOLA BRASEADA / CON BOÑATO Y ZANAHORIAS,ENSALADA DE FRUTAS
2026-09-02,BRUSQUETAS CAPRESSE / MILANESA DE TERNERA / CON ARROZ AZAFRANADO / ARROZ AL OLEO,"VARIEDAD DE TARTAS / JAMON Y QUESO, ZAPALLITOS",FLAN
2026-09-03,ARROLLADO PRIMAVERA / POLLO AL HORNO / PAPAS BASTON,BROCHETTE DE TERNERA / RUEDAS DE CALABAZA AL OLEO,GELATINA
2026-09-04,OMELLETTE CEBOLLA Y QUESO / FILET MILANESA YMEDALLON DE PESCADO / PURÉ MIXTO,TALLARINES / A LA CARUSSO,BUDIN DE BANANA
2026-09-07,BRUSQUETAS CAPRESSE / POLLO AL HORNO / SALSA DE PUERROS / PAPAS Y CALABAZAS DORADAS,MILANESA DE SOJA / WOK DE VEGETALES,ALFAJORCITOS DE MAICENA
2026-09-08,"BASTON DE MOZZARELLA / ÑOQUIS,MOSTACHOL,SPAGUETIS / SALASA POMAROLA,BLANCA,PARISIEN",BONDIOLA MECHADA / PURÉ DE BATATA Y ZANAHORIA,BUDIN CASERO DE BANANA
2026-09-09,HUEVOS RELLENOS / MILANESA DE CARNE / PURE DE PAPAS Y PURE DE CALABAZA,ROLLS DE PESCADO / ACELGA A LA CREMA,DURAZNO EN ALMIBAR
2026-09-10,"BUÑUELOS DE ACELGA / VARIEDAD DE PIZZAS / MOZZARELLA, CON TOMATE, CON JAMÓN",BROCHETTE DE TERNERA / BROCOLI Y COLIFLOR GRATINADOS,YOGUR
2026-09-11,DÍA DEL MAESTRO,,
2026-09-14,"OMELLETTE JAMON Y QUESO / RAVIOLES, TIRABUZONES, FIDEOS / SALSAS FILETTO, ROSA, PARMESANO",MILANESA DE BERENJENAS / WOK DE VERDURAS,DURAZNOS EN ALMIBAR
2026-09-15,HUEVOS RELLENOS / FILET A LA ROMANA / MEDALLON DE PESCADO / PURÉ MIXTO,CHAW FAN INTEGRAL / ARROZ INTEGRAL SALTEADO CON VERDURAS Y SALSA DE SOJA,ENSALADA DE FRUTAS
2026-09-16,"VITEL TONNE / TACOS MEXICANOS / (de carne, de pollo, juliana de verduras) / PAPAS BASTÓN",LENTEJAS / A LA ESPAÑOLA,GELATINA BICOLOR
2026-09-17,BUÑUELOS DE ACELGA / CARNE AL HORNO / SALSA DEMIGLACE / CON ARROZ AL OLEO,VARIEDAD DE TARTAS / TARTA JAMON Y QUESO Y ZAPALLITOS,YOGUR
2026-09-18,BRUSCHETA CAPRESE / MILANESA DE POLLO / PURÉ DE PAPAS Y PURÉ DE BATATAS,MIL HOJAS / DE PESCADO,BUDIN CASERO DE MANZANA
2026-09-21,ARROLLADO PRIMAVERA / CARNE AL HORNO / AL ROMERO / PAPAS Y CALABAZAS ASADAS,CHAW MEIN / (tallarines salteados con vegetales y salsa de soja),ENSALADA DE FRUTAS
2026-09-22,"BASTONCITOS DE QUESO AL FILETTO / SORRENTINOS, TALLARINES, FUSSILES / SALSAS DE TOMATE, BECHAMEL Y ROSA",BIFECITOS / A LA CRIOLLA,FLAN
2026-09-23,SOPA CREMA DE ZAPALLO / FILET MILANESAY MEDALLON DE PESCADO / CON PAPAS ESPAÑOLAS,"VARIEDAD DE TARTAS / JAMON Y QUESO,VERDURAS",ALFAJOR DE MAICENA
2026-09-24,BUÑUELOS DE ACELGA / POLLO AL HORNO / SALSA DE VERDEO / CON ARROZ,BROCHETTE DE TERNERA / CON RUEDAS DE CALABAZA AL OLEO,DURAZNO EN ALMIBAR
2026-09-25,HUEVOS RELLENOS / MILANESA DE TERNERA / PURÈ DE PAPAS,ROLLS DE PESCADO / ACELGA A LA CREMA,CARROTS CAKE
2026-09-28,BRUSCHETTA A LA POMAROLA / POLLO AL HORNO / CON ARROZ PRIMAVERA,CREPES DE JAMÓN Y QUESO / EN SALSA ROSA,YOGUR CON CEREALES
2026-09-29,"OMELETTE DE QUESO / CAPELETTIS, TAGLIATELLIS, MOSTACHOLES / SALSAS TUCO,ROSA,4QUESOS",BONDIOLA MECHADA / TORTILLA DE VERDURA,FLAN
2026-09-30,SOPA CREMA DE ZAPALLO / FILETE Y MEDALLON DE PESCADO / CON PURÉ MIXTO,CHAW MEIN / (tallarines salteados con vegetales y salsa de soja),GELATINA
